Zone,goback,Num,IdTrain,NameFee,StStart,NameSt,StFinal,NameSt_L,NameStEng,NameStEng_L,Service
2,2,18,232,ธรรมดา,2114,นครราชสีมา,1001,กรุงเทพ,Nakhon Ratchasima,Bangkok,FALSE
2,2,19,22,ด่วนพิเศษ,2290,อุบลราชธานี,1001,กรุงเทพ,Ubon Ratchathani,Bangkok,FALSE
2,2,20,78,ด่วน,2195,อุดรธานี,1001,กรุงเทพ,Udon Thani,Bangkok,TRUE
2,2,21,70,ด่วน,2209,หนองคาย,1001,กรุงเทพ,Nong Khai ,Bangkok,TRUE
2,2,22,134,เร็ว,2209,หนองคาย,1001,กรุงเทพ,Nong Khai ,Bangkok,FALSE
2,2,23,430,ท้องถิ่น,2136,ชุมทางบัวใหญ่,2114,นครราชสีมา,Bua Yai Junction,Nakhon Ratchasima,FALSE
2,2,24,438,ท้องถิ่น,2033,ลำนารายณ์,2011,ชุมทางแก่งคอย,Lam Narai,Kaeng Khoi Junction,FALSE
2,2,25,416,ท้องถิ่น,2195,อุดรธานี,2114,นครราชสีมา,Udon Thani,Nakhon Ratchasima,FALSE
2,2,26,440,ท้องถิ่น,2136,ชุมทางบัวใหญ่,2011,ชุมทางแก่งคอย,Bua Yai Junction,Kaeng Khoi Junction,FALSE
2,2,27,76,ด่วน,2209,หนองคาย,1001,กรุงเทพ,Nong Khai ,Bangkok,FALSE
2,2,28,434,ท้องถิ่น,2136,ชุมทางบัวใหญ่,2011,ชุมทางแก่งคอย,Bua Yai Junction,Kaeng Khoi Junction,FALSE
2,2,29,418,ท้องถิ่น,2305,ตลาดหนองคาย,2114,นครราชสีมา,Talat Nong Khai,Nakhon Ratchasima,FALSE
2,2,30,138,เร็ว,2209,หนองคาย,1001,กรุงเทพ,Nong Khai ,Bangkok,TRUE
2,2,31,432,ท้องถิ่น,2163,ขอนแก่น,2011,ชุมทางแก่งคอย,Khon Kaen,Kaeng Khoi Junction,FALSE
2,2,33,236,ธรรมดา,2246,ลำชี,2248,สุรินทร์,Lam Chi,Surin,FALSE
2,2,34,26,ด่วนพิเศษ CNR,2209,หนองคาย,1001,กรุงเทพ,Nong Khai ,Bangkok,FALSE
3,1,0,9051,ด่วน,1001,กรุงเทพ,1222,เชียงใหม่,Bangkok,Chiang Mai,TRUE
3,1,1,303,ชานเมือง,1001,กรุงเทพ,1050,ลพบุรี,Bangkok,Lop Buri,FALSE
3,1,2,311,ชานเมือง,1001,กรุงเทพ,1021,รังสิต,Bangkok,Rangsit,FALSE
3,1,3,407,ท้องถิ่น,1082,นครสวรรค์,1222,เชียงใหม่,Nakhon Sawan,Chiang Mai,FALSE
3,1,4,101,เร็ว,1001,กรุงเทพ,1222,เชียงใหม่,Bangkok,Chiang Mai,TRUE
3,1,5,403,ท้องถิ่น,1118,พิษณุโลก,1151,ศิลาอาสน์,Phitsanulok,Sila At ,FALSE
3,1,5,376,ชานเมือง,1021,รังสิต,3015,หัวตะเข้,Rangsit,Hua Takhe,FALSE
3,1,6,409,ท้องถิ่น,1031,อยุธยา,1050,ลพบุรี,Ayutthaya,Lop Buri,FALSE
3,1,7,401,ท้องถิ่น,1050,ลพบุรี,1118,พิษณุโลก,Lop Buri,Phitsanulok,FALSE
3,1,8,111,เร็ว,1001,กรุงเทพ,1164,เด่นชัย,Bangkok,Den Chai,FALSE
3,1,9,7,ด่วนพิเศษ,1001,กรุงเทพ,1222,เชียงใหม่,Bangkok,Chiang Mai,FALSE
3,1,10,201,ธรรมดา,1001,กรุงเทพ,1118,พิษณุโลก,Bangkok,Phitsanulok,FALSE
3,1,11,3,ด่วนพิเศษ,1001,กรุงเทพ,1143,สวรรคโลก,Bangkok,Sawankhalok,TRUE
3,1,12,209,ธรรมดา,1001,กรุงเทพ,1067,บ้านตาคลี,Bangkok,Ban Takhli,FALSE
3,1,13,211,ธรรมดา,1001,กรุงเทพ,1099,ตะพานหิน,Bangkok,Taphan Hin,FALSE
3,1,14,207,ธรรมดา,1001,กรุงเทพ,1082,นครสวรรค์,Bangkok,Nakhon Sawan,FALSE
3,1,15,109,เร็ว,1001,กรุงเทพ,1172,บ้านปิน,Bangkok,Ban Pin,FALSE
3,1,16,315,ชานเมือง,1001,กรุงเทพ,1050,ลพบุรี,Bangkok,Lop Buri,FALSE
3,1,17,301,ชานเมือง,1001,กรุงเทพ,1050,ลพบุรี,Bangkok,Lop Buri,FALSE
